designation,bp_rp,mg
Gaia DR2 6809162020601118464,0.20212746,12.74700055512027
Gaia DR2 2867769355965726720,0.47206497,13.782955746914503
Gaia DR2 236448704243874688,0.5023861,13.382769429995133
Gaia DR2 5455495810458466432,0.5231838,14.086541068837168
Gaia DR2 718089394833095424,0.67707825,14.159717016138288
Gaia DR2 5734217953652544768,0.35160637,13.491630849074497
Gaia DR2 6800672111504068864,0.60819817,14.177466909670773
Gaia DR2 5017150894177825280,0.57828903,13.628317010558668
Gaia DR2 6590242624081823360,0.4398613,13.23628027559242
Gaia DR2 3534131878376463872,0.39466858,13.473064283462374
Gaia DR2 540451334177280128,0.39667702,13.435281081932985
Gaia DR2 4889619158951662208,0.19136238,13.561542199096195
Gaia DR2 5001468456752188032,0.215168,13.746787045866704
Gaia DR2 6264096517159033984,0.4567337,12.9916961795136
Gaia DR2 2714453244133857152,0.41417885,13.064986129995344
Gaia DR2 6502185250369176064,0.4775734,13.224279382128376
Gaia DR2 6516509172461331584,0.2923832,13.039624723643364
Gaia DR2 5005730855310778112,0.94151497,13.445992308509137
Gaia DR2 3039486164254516608,0.9050083,14.358645301199616
Gaia DR2 6855044645125791488,0.3916855,13.057409978145117
Gaia DR2 5903935162613613184,1.8935947,13.04146721683302
Gaia DR2 2864592965656166656,0.3900242,13.006136257167729
Gaia DR2 1932099872855276288,0.62563133,13.747276432269931
Gaia DR2 3537945774975679104,0.44571495,13.952655892391086
Gaia DR2 4047083297174985088,1.284502,13.12785494509233
Gaia DR2 364516554471211776,0.3106346,13.21294041166287
Gaia DR2 3745841193037845248,0.7698612,14.022290299641313
Gaia DR2 6902265435426766720,0.41545677,13.10130398211816
Gaia DR2 1221038345892033408,0.7943497,14.075246924076453
Gaia DR2 1445219528321383552,0.6460228,13.401497184375046
Gaia DR2 6067661175664538496,1.8666401,11.755463114809555
Gaia DR2 6448798046671488000,0.5841751,13.162514393376362
Gaia DR2 52303287097091712,0.1396656,13.676575256207741
Gaia DR2 1806439712580189824,0.45607376,13.457362401575995
Gaia DR2 5989855777205801600,0.69347954,13.582268964894666
Gaia DR2 1213192299635952768,0.4187889,12.93778580415415
Gaia DR2 268122644942112128,-0.41765213,12.34755798852066
Gaia DR2 6430567731565317888,0.68284607,13.366214504512158
Gaia DR2 6514834753689403392,0.10688782,12.508347086184926
Gaia DR2 6579243968751415552,0.40465355,13.292225271010203
Gaia DR2 3474580404470867456,0.44607735,13.441143754994577
Gaia DR2 4103422685378238080,1.0711575,4.6189808614323145
Gaia DR2 3463793130250953472,0.65486336,13.624245625204534
Gaia DR2 2978081463498892032,0.54426575,13.980146366952859
Gaia DR2 4224977367938411648,0.098955154,13.093327645936675
Gaia DR2 2762343778751864960,0.43927574,13.386648404411908
Gaia DR2 5472854002390764416,0.6302395,13.264364872999653
Gaia DR2 6501058109216771328,0.70407677,13.76446648305474
Gaia DR2 636095892172507264,0.24020767,12.789909971120895
Gaia DR2 6834234669581328256,0.5311098,2.2910451344644613
Gaia DR2 286541251414141824,0.5574951,13.46759954025758
Gaia DR2 4511446227703191680,1.2318878,12.653353344510414
Gaia DR2 6667235891456755072,0.04787445,13.227254542956445
Gaia DR2 4438267784618378880,0.332716,13.059046033474026
Gaia DR2 980915451746249344,0.51776886,13.370106464776033
Gaia DR2 1209812778848844160,0.516325,13.387177231502637
Gaia DR2 2367473247290858624,0.3457241,12.80943338923828
Gaia DR2 252164681073748608,0.6409626,13.33149625305953
Gaia DR2 3481626319795590656,0.42729378,13.505914728080612
Gaia DR2 2769556506311040896,0.15352058,13.774772182240259
Gaia DR2 250668722486534912,0.5214424,13.205406286926372
Gaia DR2 479413183112787328,0.45101738,13.306552197494824
Gaia DR2 700760541823901440,0.09897423,12.636197393012399
Gaia DR2 3430659759665657600,0.4213009,12.704330718436239
Gaia DR2 2602823161460550528,0.69202423,14.018244494208634
Gaia DR2 2530883868001983232,0.56194687,13.820106950830684
Gaia DR2 6773854228332228608,0.5012264,12.929576390503232
Gaia DR2 893241463995439872,0.18590164,12.969354644675857
Gaia DR2 3931922815800264448,0.38824463,13.278798549120673
Gaia DR2 3579081975304269056,0.3354206,13.324499445880122
Gaia DR2 515850173822612352,0.45723915,13.414421486914446
Gaia DR2 782215146348412288,0.051319122,12.052348793449962
Gaia DR2 3096970453219752960,0.7467556,13.705575418261034
Gaia DR2 963540629703534336,0.189888,13.515661722900951
