iers_name,source_id
1514+004,4419024613142451200
1420+044,3669358889331746304
0300+470,435815622926283392
2300-683,6390824032648969856
2300-189,2399943582301006592
0056-572,4907683452093475200
1149+499,787895743112110720
2329-384,6538550291787507840
0921-213,5676264104501189888
0208-512,4936948294096305536
0007+171,2796761658092712320
1458+718,1695547569704716672
1201-068,3594766787849214336
1931-243,6768230814771364352
1750+472,1362944000928467456
0455-183,2976313831056576896
1116+603,860903796230165760
1235-197,3515721556897376768
0655+696,1109357518182452096
0035-037,2528412754274174848
0641-135,2952214872640008960
1621+392,1332433029997756032
2126-158,6841341633570424960
1116-462,5374708776997660800
1424-418,6103247522322060288
1451-375,6198608539458284800
0923+171,631406513734786048
1937-101,4193373834644172800
1603+699,1647073370506844416
1059+599,860692071522063104
2335-181,2394100395258777984
1312+240,1446820073654023680
1341+691,1673069982915779968
0514-161,2983188905465486208
1009-321,5459371898188290944
1245-457,6129112262058486656
1038+528,849141633152788096
1148-001,3795145841343641856
0743-006,3085602194483071616
2030+547,2186536273796890752
2353-686,6388517703930661120
0326+349,221870039052484352
0051+291,312017283722175104
1055+285,730687942661516416
0055-328,5027525374797786880
0844-652,5273302163896665472
0147-076,2467002693400034560
0731+479,975886908332159360
0952+338,794971920771995648
2208-373,6574894992241513984
1821+107,4483552098728068096
1637-771,5777527751033417856
0150-193,5140873989849388416
1849+670,2255678134794231552
2314+160,2817472540150719744
1303-827,5770791730483532032
1723+658,1633741620222388864
0906+015,3843655190553720064
1831-711,6419637349034013440
0521+793,553498761925306368
0546+726,498476176414045568
0901+237,687943947096068608
2337-011,2641059193712627840
1646+499,1412115363513687168
1044-128,3757129054286548352
0210+225,100863119353991808
1705+456,1358852924319583104
0003-066,2442050857556048000
2233-148,2597680539419049728
0918-297,5634763858449367936
2153-204,6823406365538019840
2140-048,2671446916261035904
2142-758,6358255119548684928
1200+483,1546176376752689792
0827+243,678455544001937024
1442+637,1620538061824241024
1404-342,6122257150650813696
0708+742,1112222742404700672
0844+068,583177673133087872
1055+201,3985009028190654592
2155-152,6839190232912027648
1438-347,6203095856867690880
2212-299,6614926728844941952
0613+570,998096317363339392
1123+203,3978449513617897344
2217+259,1880123209431249792
1347+539,1561346132516819072
2010+463,2082570508723293184
0333+321,217587067601359872
0952+179,626100682935806848
0925+504,1018273253381414272
0038-019,2530371156282693504
1659+399,1353629728691862144
1127-145,3560951342096821504
0922+005,3840852470989965184
2116+203,1790535375660865280
1651+312,1312920959213325056
1705+135,4544389485834043136
1625+582,1623596800093783808
1244-255,3496722305207229440
1206-399,6149439032297794816
1602+576,1622625076627802752
0506-612,4760823848635177984
0111+021,2538575024852905856
1726+455,1361813389442063744
1027+749,1126525224017094656
0610+260,3426927226927795840
1258+287,1463852608280412416
0428-252,4893129251036870400
0118+111,2586473835872133376
0920-397,5429515690730618368
2044-168,6862008054125736192
1240-294,3470843821579032832
1615+029,4436071407066035200
1328+307,1468213889872439040
1352-104,3613827543470072832
1349-439,6107957791478046976
1217+348,4017045326690644480
0950+326,793345987887507456
1128+517,838441495229289344
1622-310,6025638837683629184
0902+490,1012686978397952384
0222-234,5120373874722850176
0415+379,177837935551654656
1155+169,3926167804437477376
0251+393,143470809839700736
1750+175,4502986757018560640
1002+483,822841860476724864
2123-071,6898224287812719872
1143-245,3491586245877290752
0621-786,5211906602828596608
1801+010,4467748852460639616
0324-328,5053943168880300544
1247+139,3930548361842063744
1429+249,1255148254602830848
0708+506,980017941020542848
2255-282,6609630523067800192
2223+210,1874666432005468544
0248+430,337378344051896448
1124+455,784595043562844416
1118-140,3561646297868002688
1130+106,3914681069022866048
0215-167,5144090443612981248
0528-250,2957279356336516736
0235+164,81603794508719872
1012+232,725384929361390336
0802-170,5715048964860530560
1018+348,752369010586632320
0109+200,2787149005887978240
0537-441,4802492418750413568
1551+130,1191498252323326720
0417-302,4885074263210838656
1508-055,6334754986946419072
0106+315,313271963928533760
