TIME,PDCSAP_FLUX
8.541024759077118,0.5492283
8.561457691437681,0.5953521
8.581890823334106,0.5825794
8.602323855222494,0.5647951
8.622756986886088,0.578854
8.64318991854816,0.52275145
8.663622949738055,0.53583467
8.684056080935989,0.51104313
8.704489012132399,0.56182367
8.724922042856633,0.55060315
8.745355173588905,0.5173851
8.765788104086823,0.5464786
8.786221134578227,0.53077877
8.806654264612007,0.5199574
8.827087194644264,0.5260777
8.847520324670768,0.53485894
8.867953354238125,0.5614245
8.888386383805482,0.52656555
8.908819413132733,0.47059608
8.929252442234429,0.46452013
8.949685471336124,0.5034593
8.970118500197714,0.51658684
8.990551528833748,0.5191148
9.010984557469783,0.5106883
9.03141758586571,0.48403406
9.051850614036084,0.46642718
9.072283541972865,0.4827479
9.092716669903893,0.4801756
9.113149697608605,0.42487139
9.133582825073972,0.49370232
9.154015752545092,0.4718822
9.174448779784143,0.49756077
9.194881906791124,0.4339631
9.215314833556477,0.4448288
9.235747860329866,0.4348501
9.25618098686391,0.45715806
9.276613913170877,0.43560404
9.297046939478605,0.42571405
9.317480065554264,0.41032463
9.337912991388293,0.42979422
9.358346116998291,0.44074863
9.378779142600251,0.4403051
9.399212167976657,0.39733014
9.419645193120232,0.40420437
9.440078218263807,0.38859323
9.460511243167275,0.42056945
9.480944267845189,0.39573354
9.501377292282996,0.42340785
9.521810316728079,0.39395955
9.542243440941093,0.3401632
9.562676365152583,0.36646265
9.583109388891899,0.30752173
9.603542512639251,0.35329077
9.623975436144974,0.3689906
9.644408559659496,0.36779314
9.664841582940426,0.3810981
9.685274505987763,0.41263083
9.705707628796517,0.32379812
9.726140551611024,0.33155933
9.746573574186186,0.30827567
9.767006696536555,0.31750044
9.7874396188854,0.39018983
9.828305762879609,0.37857017
9.848738684762793,0.32428595
9.869171806174563,0.32042754
9.889604827592848,0.3504967
9.910037849011132,0.2882739
9.93047087018931,0.31825438
9.950903890909103,0.32641476
9.971336911861727,0.274215
9.991769932341413,0.2375377
10.012202952828375,0.35089585
10.032635973082506,0.30237716
10.053068993329362,0.30716693
10.073502013350662,0.29528117
10.093935033139132,0.29319674
10.114368152688257,0.29749867
10.134801072243135,0.29364023
10.155234191566706,0.2752794
10.175667210649408,0.29332978
10.196100129738625,0.27315062
10.216533248363703,0.26760688
10.236966267213575,0.21629412
10.2573991856043,0.20427532
10.277832303996547,0.22791378
10.298265322147927,0.25226185
10.31869824007299,0.23075217
10.339131357999577,0.2503548
10.359564375685295,0.24467802
10.379997393145459,0.2494678
10.400430410605622,0.2264946
10.420863327824918,0.18706758
10.441296444820182,0.19558276
10.461729461814684,0.2360298
10.48216247833625,0.1943853
10.502595495097921,0.22556324
10.523028511393932,0.17664538
10.543461527682666,0.23234877
10.563894643746607,0.19181302
10.584327559576195,0.19070427
10.604760575399268,0.1852936
10.625193690997548,0.22866774
10.645626606361475,0.2495565
10.666059721719648,0.20587192
10.686492736618675,0.27993613
10.70692565174977,0.2256963
10.727358766409452,0.22769204
10.747791781075648,0.24472237
10.768224695508252,0.21988647
10.788657809935103,0.20480752
10.809090823902807,0.21500798
10.82952373786975,0.20112649
10.849956851830939,0.13642009
10.870389865332982,0.15961504
10.89082297882851,0.17558098
10.911255892329791,0.22640589
10.931688905366173,0.19154692
10.95212201839604,0.20454143
10.972554931198829,0.16759801
10.99298794400238,0.19230087
11.013420956565824,0.18972857
11.033853968903713,0.18653539
11.054286981008772,0.1844066
11.074719993106555,0.15371652
11.095153004978783,0.20103778
11.115586016851012,0.14001241
11.136019128483895,0.20400922
11.1564520398897,0.18347526
11.176885151064198,0.17331915
11.197318162230658,0.16334043
11.217751073170803,0.15278517
11.238184183879639,0.16444917
11.258617194580438,0.14835018
11.27905010482209,0.155934
11.299483215298096,0.18542665
11.319916225300403,0.12448998
11.340349135309225,0.13016675
11.360782245086739,0.15486962
11.381215254856215,0.131719
11.401648264400137,0.077789605
11.422081273711228,0.09779138
11.442514282782213,0.108967535
11.462947391861235,0.13766187
11.483380300705903,0.10346816
11.503813309544057,0.107193545
11.524246417924587,0.13535568
11.54467942629708,0.17943943
11.565112334676087,0.13690794
11.585545442823786,0.15083377
11.605978450737894,0.16870676
11.626411358411133,0.11987759
11.646844466093171,0.1553131
11.667277473534341,0.12559873
11.687710480749956,0.13837147
11.708143487965572,0.116462655
11.728576494948356,0.14298385
11.749009501691035,0.085772574
11.769442508208158,0.12559873
